105,0.7
271,1.2
141,0.8
130,0.8
265,1.2
159,0.9
104,0.7
95,0.7
121,0.8
239,1.1
179,1.0
163,0.9
284,1.3
279,1.2
243,1.1
229,1.1
158,0.9
115,0.8
192,1.0
225,1.1
165,0.9
105,0.7
251,1.2
258,1.2
212,1.0
243,1.1
270,1.2
232,1.1
268,1.2
239,1.1
193,1.0
133,0.8
286,1.3
151,0.9
92,0.7
233,1.1
269,1.2
224,1.1
254,1.2
126,0.8
235,1.1
97,0.7
276,1.2
105,0.7
251,1.2
271,1.2
255,1.2
140,0.8
90,0.7
263,1.2
111,0.8
170,0.9
205,1.0
94,0.7
287,1.3
225,1.1
195,1.0
206,1.0
151,0.9
188,1.0
232,1.1
217,1.1
216,1.1
244,1.1
108,0.8
205,1.0
128,0.8
132,0.8
251,1.2
159,0.9
135,0.8
119,0.8
202,1.0
281,1.2
114,0.8
117,0.8
120,0.8
120,0.8
227,1.1
93,0.7
93,0.7
196,1.0
235,1.1
181,1.0
186,1.0
186,1.0
143,0.9
212,1.0
254,1.2
90,0.7
133,0.8
272,1.2
204,1.0
215,1.1
143,0.9
157,0.9
238,1.1
109,0.8
266,1.2
104,0.7
199,1.0
158,0.9
197,1.0
142,0.8
211,1.0
235,1.1
289,1.3
107,0.7
212,1.0
139,0.8
251,1.2
186,1.0
143,0.9
126,0.8
